EC,EO
14.720770446085302,-3.8902824187305356
14.108446650071903,-4.36905376526829
13.417682588480918,-4.884642203797332
12.667506711659083,-5.4210557425073
11.881239806552909,-5.9640465111572425
11.085043640185628,-6.501714319318808
10.306162628234413,-7.024764864013033
9.57096898418021,-7.52642855316489
8.902950937593019,-8.00210061100592
8.320811108082232,-8.448794300648322
7.8368534953284446,-8.864503370598324
7.455822509648848,-9.247559705979766
7.1743179510731405,-9.596059462412821
6.9808568526849095,-9.907419119255032
6.85659598870216,-10.178111759234012
6.776669270457846,-10.403621981290021
6.71203141979403,-10.57864030002004
6.631639781244844,-10.697489314866855
6.504765618613565,-10.754736293460995
6.3032191387634615,-10.745912054629935
6.003299424999963,-10.66823814986993
5.587327340592244,-10.52126821780446
5.0446689381466125,-10.307369102352865
4.372200593393663,-10.031993893080038
3.5742075100159685,-9.703724936218807
2.6617496276760613,-9.334082679929912
1.6515726383721727,-8.937102034262404
0.5646801607764829,-8.52867778746775
-0.5752909349376081,-8.125686843321372
-1.743740911294759,-7.744914981962598
-2.9166804367048447,-7.401847687842228
-4.072085152780864,-7.109420572389127
-5.1909370341489085,-6.876854122617198
-6.257888815772115,-6.708709218890645
-7.261525006230644,-6.604288927862001
-8.194235200415017,-6.557481162473251
-9.051753991834842,-6.557093201255062
-9.832449970347364,-6.5876791282255205
-10.53646448606882,-6.630808283898784
-11.16481176935799,-6.666670973471129
-11.718554584962297,-6.675874982463601
-12.198159616582897,-6.641260639141041
-12.603112146761099,-6.549555839044363
-12.931833445859095,-6.392704246591664
-13.181902103632762,-6.168727979616282
-13.35053753846269,-5.882028829679147
-13.435267007250172,-5.543086534603282
-13.43467527115209,-5.1675735539466245
-13.349133115442324,-4.774965513727143
-13.181413303719147,-4.386776179662372
-12.937121872660635,-4.024579616921501
-12.624892647597743,-3.707999751883757
-12.256311973883786,-3.452850617074234
-11.845560812230396,-3.2695987335201426
-11.408784700219181,-3.16229140803766
-10.963227357273086,-3.1280540135799786
-10.526184649673578,-3.157211982359576
-10.113845700446818,-3.2340435980576547
-9.740088506010409,-3.338116643990586
-9.415298353573135,-3.446104593508844
-9.145286499332029,-3.5339228988233513
-8.930401442495883,-3.5789850320819245
-8.764936331653582,-3.562359729335744
-8.636935387914813,-3.4706163580000426
-8.528485364619153,-3.2971716508603808
-8.416543620637,-3.0429958494472973
-8.274304763217568,-2.7165970059611344
-8.073049323754946,-2.3332736304504715
-7.784357995994508,-1.9137013859165444
-7.3825207838080855,-1.4819924662075474
-6.84693045553702,-1.0634271908728228
